1919	1175	1
1919	4754	1
1919	1167	1
1919	2298	1
4597	4314	3
4597	2880	2
4597	4199	1
4597	3491	1
4597	5147	1
4597	4241	2
4314	3952	2
4314	1710	3
4314	1885	2
4314	1312	4
4314	2921	4
4314	3663	1
4314	5077	3
4314	808	2
4314	4370	2
4314	4959	6
4314	48	1
4314	657	1
4314	2190	26
4314	3366	4
4314	5085	7
4314	4649	1
4314	3595	1
4314	3476	4
4314	3164	1
4314	1126	1
4314	1344	1
4314	3129	1
4314	2847	1
4314	897	1
4314	4582	1
4314	2367	1
4314	1848	1
4314	2224	16
4314	1062	1
4314	1773	3
4314	2465	2
4314	3229	1
4314	4912	1
4314	4399	1
4314	458	1
4314	4914	1
4314	2188	1
4314	3961	2
4314	1398	5
4314	1180	1
4314	532	2
4314	1532	8
4314	3496	1
4314	47	1
4314	3099	1
4314	2169	3
4314	1907	4
4314	4963	1
4314	182	1
4314	2226	1
4314	3556	2
4314	4668	153
4314	4697	10
4314	1060	1
4314	3471	1
4314	2620	2
4314	5188	1
4314	3978	1
4314	3807	14
4314	1360	3
4314	3894	14
4314	422	6
4314	3182	1
4314	4644	2
4314	1203	1
4314	2876	16
4314	2165	1
4314	3648	3
4314	1890	2
4314	1392	9
4314	4275	2
4314	752	8
4314	1975	1
4314	2330	1
4314	4541	1
4314	1835	6
4314	4123	2
4314	3097	1
4314	4381	1
4314	3774	1
4314	2300	22
4314	5131	1
4314	948	2
4314	902	3
4314	5026	1
4314	1888	2
4314	5051	1
4314	74	16
4314	3509	8
4314	3135	1
4314	4569	1
4314	1252	2
4314	365	18
4314	1694	1
4314	4753	5
4314	8	10
4314	2448	1
4314	764	2
4314	216	1
4314	2901	2
4314	1024	2
4314	4732	2
4314	877	12
4314	3204	1
4314	1134	1
4314	364	2
4314	1962	1
4314	4228	1
4314	2690	1
4314	850	3
4314	1150	1
4314	1880	1
4314	1309	2
4314	3977	3
4314	4972	1
4314	3273	2
4314	2504	6
4314	864	1
4314	2303	1
4314	3967	1
4314	1757	1
4314	3026	1
4314	4867	14
4314	2128	1
4314	1893	10
4314	4164	2
4314	875	1
4314	1015	6
4314	4031	1
4314	2470	4
4314	562	1
4314	3756	2
4314	58	13
4314	3100	18
4314	4895	1
4314	4237	2
4314	911	1
4314	3493	1
4314	237	2
4314	2096	1
4314	2813	1
4314	1025	8
4314	2745	10
4314	615	2
4314	1613	2
4314	5147	6
